Class	Atom count	Exact molecular weight	a(xx)	a(yy)	a(zz)	Formal charge	molecular	molecular.1	a(xx).1	a(yy).1	a(zz).1	Aliphatic atom count	Aliphatic bond count	Aliphatic ring count	Aliphatic ring count of size	ASA	ASA+	ASA-	ASA_H	ASA_P	Asymmetric atom count	Balaban index	Carboaliphatic ring count	Carbo ring count	Chiral center count	Cyclomatic number	fsp3	Fused aliphatic ring count	Fused aromatic ring count	Harary index	Heteroaliphatic ring count	Heteroaromatic ring count	Hyper wiener index	Van der Waals surface area (3D)	Van der Waals surface area (3D).1	Platt index	Polar surface area	Polar surface area.1	Randic index	Rotatable bond count	Szeged index	Van der Waals surface area (3D).2	ASA.1	ASA+.1	ASA-.1	ASA_H.1	ASA_P.1	Wiener index	Wiener polarity	count	logD[pH=7]	logP of major-ms
Active	44	285.195345761	22.49	35.53	42.74	0	31.69	33.59	22.49	35.53	42.74	10	12	1	0	577.52	476.7	100.82	552.95	24.57	0	1.4	0	0	0	3	0.56	0	0	71.87	1	2	3091	473.78	473.78	168	46.84	46.84	19.13	2	1467	473.78	577.52	476.70	100.82	552.95	24.57	923	31	4	3.12	3.12
Active	33	358.00167448	34.26	26.50	44.56	0	35.38	35.11	34.26	26.50	44.56	5	6	0	0	471.89	344.66	127.23	365.28	106.60	0	1.41	0	0	0	4	0.07	0	4	84.15	0	4	3747	389.89	389.89	114	58.45	58.45	15.34	4	1770	389.89	471.89	344.66	127.23	365.28	106.6	1128	37	1	4.31	4.31
Active	35	390.996782	29.74	22.01	49.27	-1	33.23	33.67	29.74	22.01	49.27	7	9	0	0	565.77	347.03	218.74	384.89	180.88	0	1.24	0	2	0	3	0.06	0	0	81.61	0	1	7145	423.07	423.07	116	74.45	74.45	16.11	5	2161	423.07	572.16	329.05	243.10	395.21	176.95	1596	32	3	3.05	2.03
Active	36	302.090271559	39.73	28.69	21.85	0	29.65	30.09	39.73	28.69	21.85	11	12	0	0	535.63	342.38	193.26	355.23	180.40	0	1.47	0	1	0	2	0.13	0	0	70.34	0	1	5467	411.22	411.22	118	94.61	94.61	16.25	6	1559	411.22	535.63	342.38	193.26	355.23	180.4	1279	28	1	2.21	2.21
Active	42	338.12013239	40.09	48.91	22.13	0	37.81	37.05	40.09	48.91	22.13	9	11	1	0	579.29	431.89	147.4	515.43	63.86	1	1.2	0	1	1	4	0.28	0	2	85.36	1	2	5712	462.56	462.56	154	59.4	59.40	18.92	4	2075	462.56	579.29	431.89	147.40	515.43	63.86	1438	33	17	3.67	3.68
Active	58	476.151826443	69.07	46.61	36.57	0	49.71	50.75	69.07	46.61	36.57	14	17	1	0	727.15	542.98	184.16	629.25	97.90	1	1.08	0	2	1	5	0.24	0	2	139.51	1	2	18683	640.61	640.61	212	96.7	96.70	26.18	7	5218	640.61	727.15	542.98	184.16	629.25	97.9	3776	49	3	3.96	3.96
Active	38	373.05303892	40.10	36.92	26.46	0	33.62	34.49	40.1	36.92	26.46	13	14	0	0	549.19	336.04	213.15	368.31	180.88	0	1.65	0	1	0	2	0.2	0	0	82.04	0	1	6605	450.81	450.81	128	53.16	53.16	16.96	4	1904	450.81	549.19	336.04	213.15	368.31	180.88	1543	34	3	4.85	4.85
Active	43	260.188863401	22.75	26.12	46.30	0	30.36	31.73	22.75	26.12	46.3	13	14	1	0	499.60	361.76	137.84	358.21	141.39	0	1.54	1	2	2	2	0.56	0	0	58.50	0	0	3028	441.73	441.73	162	55.12	55.12	18.66	4	1292	441.73	499.60	361.76	137.84	358.21	141.39	806	27	2	3.82	3.82
Active	41	447.000074	37.59	28.99	52.08	0	40.64	39.55	37.59	28.99	52.08	11	13	0	0	510.71	312.84	197.87	367.68	143.03	0	1.52	0	1	0	3	0.06	0	0	100.78	0	2	7953	484.13	484.13	136	115.18	115.18	18.75	4	2354	484.13	510.71	312.84	197.87	367.68	143.03	1938	39	5	3.33	3.33
Active	30	299.036462336	44.61	27.59	16.02	0	30.13	29.41	44.61	27.59	16.02	6	7	0	0	503.63	266.6	237.02	324.96	178.67	0	1.27	0	1	0	3	0	0	2	69.77	0	2	3787	361.22	361.22	100	85.13	85.13	13.89	3	1551	361.22	503.63	266.60	237.02	324.96	178.67	1011	30	3	3.24	3.24
Active	29	283.0279174	38.86	29.38	16.21	0	27.11	28.15	38.86	29.38	16.21	7	8	0	0	505.23	331.72	173.51	463.89	41.34	0	1.73	0	1	0	2	0.17	0	0	55.61	0	1	2058	354.55	354.55	98	46.92	46.92	13.01	1	866	354.55	505.23	331.72	173.51	463.89	41.34	637	25	2	3.04	3.04
Active	37	361.053255215	49.61	33.44	19.57	-1	34.82	34.21	49.61	33.44	19.57	13	14	0	0	544.53	301.9	242.63	300.12	244.42	0	1.54	0	2	0	2	0	0	0	85.20	0	0	8211	422.74	422.74	116	107.33	107.33	17.02	4	2358	422.74	554.93	293.43	261.51	335.25	219.69	1794	34	37	3.27	1.87
Active	40	316.121177763	41.76	35.47	23.42	-1	34.92	33.55	41.76	35.47	23.42	6	9	1	0	481.30	317.28	164.02	374.71	106.59	0	1.38	1	3	0	4	0.1	0	0	89.47	0	1	4335	411.05	411.05	144	46.61	46.61	18.24	2	2053	411.05	485.03	303.95	181.08	375.14	109.9	1267	39	4	3.31	2.88
